system:index,CII,RFI,aspect,chirps_30d,chirps_7d,compound_risk,dist_water,elevation,event_id,flood,flood_driver,freeboard_fes,imerg_24h,imerg_3d,imerg_peak_intensity,lt0,lt1,lt3,onshore_wind,rain_intensity_ratio,season_wet,slope,soil_moisture,solar_rad,split,spring_flag_fes,surface_pressure,tide_anomaly,tide_max_fes,tide_range_fes,u_wind_10m,v_wind_10m,wind_dir,wind_speed,.geo
3_299,0.637272653828851,0.6765254087266027,14.105646133422852,134.7094316482544,5.618264675140381,0.1665164828300476,0.0,0,jul2020,1.0,1,0.647,38.79499816894531,56.784000396728516,14.899999618530273,0,1,1,0.04469478693008444,0.10979339783213903,0.0,3.8196358680725098,0.3685772120952606,100.37268829345703,train,0,101231.7734375,-0.10299999999999998,0.647,1.429,4.603952884674072,4.667161464691162,45.390624968673116,6.555820185285504,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_300,0.637272653828851,0.6533469407821957,134.84620666503906,147.8761260509491,0.0,0.14477460086345673,0.0,0,jul2020,1.0,1,0.647,32.64500045776367,56.85349655151367,9.34999942779541,0,1,1,-0.14885331780910493,0.06280388720348358,0.0,1.3149744272232056,0.3775002360343933,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_313,0.5660251345041982,0.6533469407821957,63.55720138549805,147.8761260509491,0.0,0.14477460086345673,0.0,1,jul2020,1.0,1,-0.353,32.64500045776367,56.85349655151367,9.34999942779541,0,0,1,-0.14885331780910493,0.06280388720348358,0.0,4.158335208892822,0.3775002360343933,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_316,0.3522825765302402,0.46990389195340326,113.08187103271484,152.9877598285675,5.042840003967285,0.04993807151913643,0.0,4,jul2020,1.0,1,-3.3529999999999998,28.94999885559082,55.195499420166016,10.019999504089355,0,0,0,-0.22125821177959448,0.06507010372281853,0.0,7.061340808868408,0.20793713629245758,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_317,0.637272653828851,0.4980703859338678,-0.0,143.5501126050949,5.174736976623535,0.056150324642658234,0.0,0,jul2020,1.0,2,0.647,35.1349983215332,45.274497985839844,9.579999923706055,0,1,1,-0.22125821177959448,0.06627459329539388,0.0,0.0,0.20000000298023224,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_319,0.637272653828851,0.6765254087266027,63.552947998046875,134.7094316482544,5.618264675140381,0.1665164828300476,0.0,0,jul2020,1.0,1,0.647,38.79499816894531,56.784000396728516,14.899999618530273,0,1,1,0.04469478693008444,0.10979339783213903,0.0,2.0815985202789307,0.3685772120952606,100.37268829345703,train,0,101231.7734375,-0.10299999999999998,0.647,1.429,4.603952884674072,4.667161464691162,45.390624968673116,6.555820185285504,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_322,0.710377358490566,0.6765254087266027,14.106194496154785,134.7094316482544,5.618264675140381,0.1665164828300476,0.0,-2,jul2020,1.0,2,2.6470000000000002,38.79499816894531,56.784000396728516,14.899999618530273,1,1,1,0.04469478693008444,0.10979339783213903,0.0,3.8196449279785156,0.3685772120952606,100.37268829345703,train,0,101231.7734375,-0.10299999999999998,0.647,1.429,4.603952884674072,4.667161464691162,45.390624968673116,6.555820185285504,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_324,0.28103505720558747,0.64381155258993,170.48699951171875,141.27575874328613,0.0,0.15431185066699982,0.0,5,jul2020,1.0,1,-4.353,32.64500045776367,56.85349655151367,9.34999942779541,0,0,0,-0.14885331780910493,0.06571744554647563,0.0,5.624405384063721,0.395781010389328,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_328,0.11037735849056605,0.4534109266270205,225.16201782226562,141.57137835025787,0.0,0.04993807151913643,0.0,11,jul2020,1.0,1,-10.353,28.94999885559082,55.195499420166016,10.019999504089355,0,0,0,-0.22125821177959448,0.07028058240043825,0.0,2.628943681716919,0.20793713629245758,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_346,0.7085201731535037,0.5877958064582833,251.65940856933594,156.2983729839325,0.0,0.10441693663597107,0.0,-1,jul2020,1.0,2,1.647,27.19999885559082,57.31599807739258,7.149999618530273,1,1,1,-0.22125821177959448,0.04545501318860191,0.0,2.9449548721313477,0.3402092456817627,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
